Total Allocated,School,% Allocated,Conf,Total Revenue,Rk,Total Expenses
27135506.0,Sacramento State,8746.0,Big Sky,31025741.0,106.0,30566334.0
20858180.0,Eastern Michigan,6755.0,MAC,30878069.0,107.0,30878069.0
17903051.0,Western Kentucky,5818.0,C-USA,30770123.0,108.0,30770123.0
24812893.0,George Mason,8114.0,A-10,30579233.0,109.0,30579233.0
14281319.0,North Dakota,4682.0,Summit,30499909.0,110.0,30414914.0
8561480.0,Wichita State,2864.0,Mo. Valley,29890086.0,111.0,30163207.0
16754438.0,William & Mary,5678.0,CAA,29505573.0,112.0,29362957.0
17806518.0,Georgia Southern,6039.0,Sun Belt,29483912.0,113.0,29504873.0
18874287.0,Kent State,6407.0,MAC,29460111.0,114.0,29573232.0
20354847.0,Illinois State,7018.0,Mo. Valley,29004681.0,115.0,26742643.0
16428734.0,Missouri State,5711.0,Mo. Valley,28767433.0,116.0,28767433.0
21280021.0,Rhode Island,7446.0,A-10,28579307.0,117.0,28114099.0
21092574.0,Kennesaw State,7397.0,Atl Sun,28516561.0,118.0,27575076.0
14846542.0,Northern Illinois,5291.0,MAC,28057388.0,119.0,26483239.0
17375408.0,New Mexico State,6203.0,WAC,28010801.0,120.0,28011103.0
20551096.0,Ball State,7425.0,MAC,27678480.0,121.0,27911602.0
8123914.0,North Dakota State,2981.0,Summit,27252716.0,122.0,27489584.0
24094290.0,Missouri-Kansas City,8982.0,WAC,26825857.0,123.0,12978814.0
15625182.0,Bowling Green,6009.0,MAC,26001184.0,124.0,25780900.0
11521618.0,Southern Mississippi,4485.0,C-USA,25687189.0,125.0,25687189.0
10957979.0,Louisiana Tech,4392.0,C-USA,24948474.0,126.0,24910914.0
19223180.0,Northern Arizona,8067.0,Big Sky,23829909.0,127.0,21456837.0
9982251.0,South Dakota State,4265.0,Summit,23406082.0,128.0,23075994.0
7987119.0,Montana,3421.0,Big Sky,23350166.0,129.0,22066048.0
21054175.0,California-Riverside,9071.0,Big West,23210693.0,130.0,24204996.0
11682550.0,Montana State,5040.0,Big Sky,23181126.0,131.0,23222276.0
15981620.0,California-Santa Barbara,6913.0,Big West,23118249.0,132.0,24879412.0
18847220.0,Binghamton,8164.0,Am East,23086827.0,133.0,21806087.0
18546741.0,Albany,8038.0,Am East,23074542.0,134.0,22060609.0
15485826.0,Maine,6786.0,Am East,22820882.0,135.0,22763763.0
15636776.0,East Tennessee State,6868.0,Southern,22766270.0,136.0,23450603.0
17006012.0,Vermont,7484.0,Am East,22722443.0,137.0,22729644.0
12782176.0,Southern Illinois,5679.0,Mo. Valley,22507927.0,138.0,31852498.0
17669315.0,California-Irvine,7913.0,Big West,22330644.0,139.0,22310597.0
15062825.0,Long Beach State,6746.0,Big West,22327842.0,140.0,22338314.0
18485046.0,Massachusetts-Lowell,8442.0,Am East,21895994.0,141.0,21760969.0
16128133.0,College of Charleston,7589.0,CAA,21251949.0,142.0,21858855.0
10609997.0,Nebraska-Omaha,5167.0,Summit,20533164.0,143.0,20195866.0
9699119.0,Northern Iowa,4756.0,Mo. Valley,20393653.0,144.0,21739142.0
15985984.0,California State-Fullerton,8023.0,Big West,19925160.0,145.0,19925160.0
12628820.0,South Dakota,6338.0,Summit,19924008.0,146.0,20095967.0
13364772.0,Prairie View A&M,6775.0,SWAC,19727562.0,147.0,19493859.0
14399434.0,Sam Houston State,7496.0,Southland,19210115.0,148.0,18538773.0
12447352.0,Idaho,6483.0,Big Sky,19200033.0,149.0,20728355.0
15733998.0,Stephen F. Austin,8261.0,Southland,19046746.0,150.0,19120353.0
15143690.0,Illinois-Chicago,8015.0,Horizon,18895228.0,151.0,18456047.0
16010967.0,California State-Northridge,8502.0,Big West,18831519.0,152.0,17884384.0
15024594.0,Lamar,8059.0,Southland,18643064.0,153.0,18525162.0
14930988.0,Jacksonville State,8108.0,Ohio Valley,18416177.0,154.0,18416177.0
13508329.0,Eastern Washington,7338.0,Big Sky,18409766.0,155.0,18343811.0
12702324.0,Murray State,6936.0,Ohio Valley,18313528.0,156.0,18112669.0
16112683.0,Maryland-Baltimore Cty,8818.0,Am East,18271542.0,157.0,18715669.0
14663548.0,North Carolina Greensboro,8060.0,Southern,18193727.0,158.0,18211044.0
12548654.0,Tennessee-Chattanooga,6897.0,Southern,18193292.0,159.0,18193292.0
12631204.0,Austin Peay,7156.0,Ohio Valley,17651686.0,160.0,17333844.0
12647225.0,Northern Colorado,7187.0,Big Sky,17597863.0,161.0,17442112.0
15917188.0,New Jersey Tech,9057.0,Atl Sun,17574760.0,162.0,17256398.0
13563973.0,Indiana State,7793.0,Mo. Valley,17405534.0,163.0,17189492.0
12612299.0,California State-Bakersfield,7283.0,WAC,17318218.0,164.0,18351841.0
14600615.0,Central Connecticut,8597.0,Northeast,16982571.0,165.0,16982568.0
11041799.0,Florida Gulf Coast,6685.0,Atl Sun,16517695.0,166.0,16585865.0
13329410.0,Eastern Kentucky,8114.0,Ohio Valley,16426697.0,167.0,16426697.0
14201153.0,Utah Valley,8670.0,WAC,16380032.0,168.0,17084018.0
11595395.0,Youngstown State,7155.0,Horizon,16206124.0,169.0,16206122.0
11238931.0,Citadel,6937.0,Southern,16201634.0,170.0,15978432.0
12315090.0,Texas-Arlington,7680.0,Sun Belt,16035977.0,171.0,17371036.0
14049680.0,Texas-Rio Grande Valley,8778.0,WAC,16004761.0,172.0,15788685.0
11339005.0,North Carolina Wilmington,7130.0,CAA,15902957.0,173.0,16248450.0
13221141.0,Wisconsin-Milwaukee,8354.0,Horizon,15826484.0,174.0,14409939.0
11592638.0,North Carolina A&T,7335.0,MEAC,15804026.0,175.0,15392865.0
12663290.0,Oakland,8016.0,Horizon,15797739.0,176.0,15910572.0
13284740.0,Northern Kentucky,8429.0,Horizon,15761296.0,177.0,15841015.0
8032964.0,Louisiana-Monroe,5160.0,Sun Belt,15568952.0,178.0,16927856.0
12082018.0,Southern Utah,7839.0,Big Sky,15412859.0,179.0,15883487.0
9742055.0,Weber State,6478.0,Big Sky,15038280.0,180.0,15011072.0
10368496.0,Southern,6903.0,SWAC,15021312.0,181.0,15086644.0
11272544.0,Portland State,7521.0,Big Sky,14987694.0,182.0,12015314.0
9607904.0,Western Carolina,6456.0,Southern,14882283.0,183.0,13920437.0
6554671.0,VMI,4425.0,Southern,14812966.0,184.0,13924452.0
9934322.0,North Carolina Central,6770.0,MEAC,14674930.0,185.0,14674930.0
11222903.0,Tennessee Tech,7711.0,Ohio Valley,14553628.0,186.0,14399170.0
10306949.0,Central Arkansas,7246.0,Southland,14224103.0,187.0,14033712.0
11712022.0,Texas A&M-Corpus Christi,8260.0,Southland,14179273.0,188.0,14168811.0
11912608.0,Delaware State,8449.0,MEAC,14098765.0,189.0,14098765.0
9907172.0,Tennessee-Martin,7066.0,Ohio Valley,14021155.0,190.0,14021155.0
8386459.0,Southeastern Louisiana,6021.0,Southland,13929421.0,191.0,13877580.0
11047134.0,Norfolk State,8047.0,MEAC,13728299.0,192.0,13728299.0
10278985.0,Alabama State,7654.0,SWAC,13429886.0,193.0,13443801.0
11091831.0,Cleveland State,8277.0,Horizon,13400944.0,194.0,13400944.0
9819070.0,Southeast Missouri State,7362.0,Ohio Valley,13336997.0,195.0,12907418.0
9453834.0,North Florida,7130.0,Atl Sun,13259614.0,196.0,13042501.0
8651033.0,Northwestern State La,6526.0,Southland,13256529.0,197.0,13006719.0
8619904.0,Idaho State,6548.0,Big Sky,13164723.0,198.0,14144273.0
8829852.0,Arkansas-Little Rock,6756.0,Sun Belt,13070393.0,199.0,13132498.0
9617375.0,Winthrop,7494.0,Big South,12833867.0,200.0,13799838.0
6690472.0,McNeese State,5277.0,Southland,12677635.0,201.0,12682134.0
10145351.0,Radford,8029.0,Big South,12635147.0,202.0,13046363.0
10047356.0,Wright State,8102.0,Horizon,12400904.0,203.0,12370379.0
9146014.0,Texas Southern,7619.0,SWAC,12004497.0,204.0,12004497.0
9697728.0,Purdue Fort Wayne,8317.0,Summit,11660624.0,205.0,12491545.0
5943623.0,Wisconsin-Green Bay,5110.0,Horizon,11630591.0,206.0,9847376.0
9780660.0,Morehead State,8429.0,Ohio Valley,11603133.0,207.0,11603133.0
9125050.0,Tennessee State,7877.0,Ohio Valley,11583919.0,208.0,11981330.0
9469695.0,Longwood,8327.0,Big South,11372937.0,209.0,11876279.0
7692499.0,Eastern Illinois,6779.0,Ohio Valley,11347747.0,210.0,12861144.0
3935618.0,Florida A&M,3512.0,MEAC,11205406.0,211.0,11205406.0
9481048.0,Indiana-Purdue Indianapolis,8690.0,Horizon,10910373.0,212.0,10889513.0
8842176.0,Morgan State,8118.0,MEAC,10892595.0,213.0,14146441.0
7568885.0,Western Illinois,7146.0,Summit,10591600.0,214.0,11954285.0
5713688.0,Nicholls State,5975.0,Southland,9562988.0,215.0,9674950.0
6357321.0,North Carolina Asheville,6828.0,Big South,9310037.0,216.0,9169576.0
7125971.0,Southern Illinois Edwardsville,7722.0,Ohio Valley,9228445.0,217.0,9422145.0
7646759.0,South Carolina Upstate,8713.0,Big South,8776354.0,218.0,8861127.0
5242304.0,Grambling State,5992.0,SWAC,8748551.0,219.0,9869917.0
5698148.0,Arkansas-Pine Bluff,6811.0,SWAC,8366411.0,220.0,8465811.0
3452324.0,Alcorn State,4954.0,SWAC,6968254.0,221.0,6165344.0
4430486.0,Chicago State,7477.0,WAC,5925138.0,222.0,6553934.0
4560428.0,New Orleans,7896.0,Southland,5775389.0,223.0,5775389.0
3969364.0,Maryland-Eastern Shore,7481.0,MEAC,5305668.0,224.0,5305668.0
2224870.0,Mississippi Valley State,5416.0,SWAC,4107811.0,225.0,4107811.0
2306764.0,Savannah State,5723.0,MEAC,4030759.0,226.0,5068318.0
2275427.0,Coppin State,7054.0,MEAC,3225541.0,227.0,4603198.0
nan,School,nan,Conf,nan,nan,nan
