Wpctx,W,Offensive coordinators,First season,L,Wx,Special Teams coordinators,Head coach,Conference,Defensive coordinators,School,Wpct,Lx
.538,60,Bodie Reeder,2019[N 5],60,7,Roc Bellantoni,Gary Andersen,Mountain West,Stacy Collins / Frank Maile,Utah State Aggies,0.5,6
.474,36,Brent Vigen,2014,40,36,Shannon Moore,Craig Bohl,Mountain West,Jay Sawvel,Wyoming Cowboys,0.474,40
.375,95,Noel Mazzone,2018,58,9,Jeremy Springer,Kevin Sumlin,Pac-12,Paul Rhoads,Arizona Wildcats,0.621,15
.577,15,Zak Hill,2018,11,15,Shawn Slocum,Herm Edwards,Pac-12,Marvin Lewis / Antonio Pierce,Arizona State Sun Devils,0.5770000000000001,11
.526,20,Bill Musgrave,2017,18,20,Charlie Ragle,Justin Wilcox,Pac-12,Tim DeRuyter / Peter Sirmon,California Golden Bears,0.526,18
–,35,Darrin Chiaverini,2020,27,0,Vacant,Karl Dorrell,Pac-12,Tyson Summers,Colorado Buffaloes,0.565,0
.750,48,Joe Moorhead,2018,54,21,Bobby Williams,Mario Cristobal,Pac-12,Andy Avalos / Keith Heyward,Oregon Ducks,0.47100000000000003,7
.280,7,Brian Lindgren,2018,18,7,Jake Cookus,Jonathan Smith,Pac-12,Tim Tibesar,Oregon State Beavers,0.28,18
.717,86,Tavita Pritchard,2011,34,86,Pete Alamar,David Shaw,Pac-12,Lance Anderson,Stanford Cardinal,0.7170000000000001,34
.292,53,Justin Frye,2018,24,7,Derek Sage,Chip Kelly,Pac-12,Jerry Azzinaro,UCLA Bruins,0.688,17
.645,40,Graham Harrell,2015,22,40,Sean Snyder,Clay Helton,Pac-12,Todd Orlando,USC Trojans,0.645,22
.672,131,Andy Ludwig,2005,64,131,Sharrieff Shah,Kyle Whittingham,Pac-12,Morgan Scalley,Utah Utes,0.672,64
–,0,John Donovan,2020,0,0,Bob Gregory,Jimmy Lake,Pac-12,Pete Kwiatkowski / Ikaika Malloe,Washington Huskies,nan,0
