sportCode,gsr,orgId,cohortYear,sportDesc,conferenceName,fgrReportLink,gsrReportLink,conferenceId,orgName,state,fgr
MFB,82,257,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/257.pdf,https://web1.ncaa.org/app_data/gsr2013/257.pdf,911,University of Georgia,GA,70
MFB,48,253,2006,Football,Southern Conference,https://web1.ncaa.org/app_data/inst2013/253.pdf,https://web1.ncaa.org/app_data/gsr2013/253.pdf,912,Georgia Southern University,GA,38
,,,,,,,,,georgia state,,
,,,,,,,,,georgia tech,,
MFB,60,311,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/311.pdf,https://web1.ncaa.org/app_data/gsr2013/311.pdf,25354,Iowa State University,IA,48
MFB,57,288,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/288.pdf,https://web1.ncaa.org/app_data/gsr2013/288.pdf,24312,University of Houston,TX,53
MFB,75,299,2006,Football,Missouri Valley Football Conference,https://web1.ncaa.org/app_data/inst2013/299.pdf,https://web1.ncaa.org/app_data/gsr2013/299.pdf,853,Illinois State University,IL,59
MFB,57,305,2006,Football,Missouri Valley Football Conference,https://web1.ncaa.org/app_data/inst2013/305.pdf,https://web1.ncaa.org/app_data/gsr2013/305.pdf,853,Indiana State University,IN,55
MFB,81,312,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/312.pdf,https://web1.ncaa.org/app_data/gsr2013/312.pdf,827,University of Iowa,IA,66
MFB,60,311,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/311.pdf,https://web1.ncaa.org/app_data/gsr2013/311.pdf,25354,Iowa State University,IA,48
MFB,69,328,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/328.pdf,https://web1.ncaa.org/app_data/gsr2013/328.pdf,25354,University of Kansas,KS,53
MFB,59,327,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/327.pdf,https://web1.ncaa.org/app_data/gsr2013/327.pdf,25354,Kansas State University,KS,53
MFB,58,331,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/331.pdf,https://web1.ncaa.org/app_data/gsr2013/331.pdf,875,Kent State University,OH,52
MFB,62,334,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/334.pdf,https://web1.ncaa.org/app_data/gsr2013/334.pdf,911,University of Kentucky,KY,55
MFB,65,355,2006,Football,Big South Conference,https://web1.ncaa.org/app_data/inst2013/355.pdf,https://web1.ncaa.org/app_data/gsr2013/355.pdf,826,Liberty University,VA,54
MFB,79,366,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/366.pdf,https://web1.ncaa.org/app_data/gsr2013/366.pdf,923,Louisiana Tech University,LA,57
MFB,65,671,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/671.pdf,https://web1.ncaa.org/app_data/gsr2013/671.pdf,818,University of Louisiana at Lafayette,LA,62
MFB,59,498,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/498.pdf,https://web1.ncaa.org/app_data/gsr2013/498.pdf,818,University of Louisiana Monroe,LA,51
MFB,66,367,2006,Football,American Athletic Conference,https://web1.ncaa.org/app_data/inst2013/367.pdf,https://web1.ncaa.org/app_data/gsr2013/367.pdf,823,University of Louisville,KY,49
MFB,84,731,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/731.pdf,https://web1.ncaa.org/app_data/gsr2013/731.pdf,923,Utah State University,UT,56
MFB,66,388,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/388.pdf,https://web1.ncaa.org/app_data/gsr2013/388.pdf,24312,Marshall University,WV,54
MFB,59,550,2006,Football,Big Sky Conference,https://web1.ncaa.org/app_data/inst2013/550.pdf,https://web1.ncaa.org/app_data/gsr2013/550.pdf,825,Portland State University,OR,43
,,,,,,,,,massachusetts,,
MFB,74,404,2006,Football,Conference USA,https://web1.ncaa.org/app_data/inst2013/404.pdf,https://web1.ncaa.org/app_data/gsr2013/404.pdf,24312,University of Memphis,TN,65
MFB,86,415,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/415.pdf,https://web1.ncaa.org/app_data/gsr2013/415.pdf,821,University of Miami (Florida),FL,69
MFB,86,415,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/415.pdf,https://web1.ncaa.org/app_data/gsr2013/415.pdf,821,University of Miami (Florida),FL,69
MFB,66,418,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/418.pdf,https://web1.ncaa.org/app_data/gsr2013/418.pdf,827,University of Michigan,MI,57
MFB,70,416,2006,Football,Big Ten Conference,https://web1.ncaa.org/app_data/inst2013/416.pdf,https://web1.ncaa.org/app_data/gsr2013/416.pdf,827,Michigan State University,MI,54
MFB,73,419,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/419.pdf,https://web1.ncaa.org/app_data/gsr2013/419.pdf,818,Middle Tennessee State University,TN,54
,,,,,,,,,minnesota,,
MFB,55,433,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/433.pdf,https://web1.ncaa.org/app_data/gsr2013/433.pdf,911,University of Mississippi,MS,42
MFB,59,430,2006,Football,Southeastern Conference,https://web1.ncaa.org/app_data/inst2013/430.pdf,https://web1.ncaa.org/app_data/gsr2013/430.pdf,911,Mississippi State University,MS,46
MFB,63,669,2006,Football,Missouri Valley Football Conference,https://web1.ncaa.org/app_data/inst2013/669.pdf,https://web1.ncaa.org/app_data/gsr2013/669.pdf,853,Missouri State University,MO,67
MFB,59,327,2006,Football,Big 12 Conference,https://web1.ncaa.org/app_data/inst2013/327.pdf,https://web1.ncaa.org/app_data/gsr2013/327.pdf,25354,Kansas State University,KS,53
,,,,,,,,,nebraska,,
MFB,71,466,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/466.pdf,https://web1.ncaa.org/app_data/gsr2013/466.pdf,5486,"University of Nevada, Reno",NV,62
MFB,64,465,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/465.pdf,https://web1.ncaa.org/app_data/gsr2013/465.pdf,5486,"University of Nevada, Las Vegas",NV,69
MFB,58,473,2006,Football,Mountain West Conference,https://web1.ncaa.org/app_data/inst2013/473.pdf,https://web1.ncaa.org/app_data/gsr2013/473.pdf,5486,University of New Mexico,NM,42
MFB,63,472,2006,Football,Western Athletic Conference,https://web1.ncaa.org/app_data/inst2013/472.pdf,https://web1.ncaa.org/app_data/gsr2013/472.pdf,923,New Mexico State University,NM,44
MFB,64,490,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/490.pdf,https://web1.ncaa.org/app_data/gsr2013/490.pdf,821,North Carolina State University,NC,57
MFB,64,490,2006,Football,Atlantic Coast Conference,https://web1.ncaa.org/app_data/inst2013/490.pdf,https://web1.ncaa.org/app_data/gsr2013/490.pdf,821,North Carolina State University,NC,57
MFB,65,497,2006,Football,Sun Belt Conference,https://web1.ncaa.org/app_data/inst2013/497.pdf,https://web1.ncaa.org/app_data/gsr2013/497.pdf,818,University of North Texas,TX,62
MFB,85,503,2006,Football,Mid-American Conference,https://web1.ncaa.org/app_data/inst2013/503.pdf,https://web1.ncaa.org/app_data/gsr2013/503.pdf,875,Northern Illinois University,IL,67
